OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
JMP-S41	362	S41_L.MP4	78250	S41_R.MP4	77297	830.55500	7	1.13800	1675.57331	26.27748	-3690.79932	6.46633	1.39479	14.61647	5.66047	4053.42276	24.41699	Labridae	Coris	auricularis	37384088	3	AD	Passing			
JMP-S41	368	S41_L.MP4	78529	S41_R.MP4	77576	830.64800	7	1.23100	108.62409	34.66614	-2551.82722	1.12190	1.06874	9.09843	1.38368	2554.37333	2.47845	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	369	S41_L.MP4	78529	S41_R.MP4	77576	830.64800	7	1.23100	-733.90515	-177.62996	-4719.67185	4.90850	2.14757	30.05718	5.72912	4779.69366	9.17231	Labridae	Coris	auricularis	37384088	2	AD	Passing			
JMP-S41	370	S41_L.MP4	78529	S41_R.MP4	77576	830.64800	7	1.23100	930.22227	-468.47500	-2959.49133	3.40185	1.97033	10.67810	1.69040	3137.41473	19.53806	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	374	S41_L.MP4	78675	S41_R.MP4	77722	830.69667	7	1.27967	-43.24843	-662.49338	-3068.18223	1.26079	2.94576	12.92129	0.64899	3139.18941	12.53693	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	376	S41_L.MP4	79073	S41_R.MP4	78120	830.82933	7	1.41233	-1335.16314	-904.25535	-3824.75121	5.90566	4.15671	17.12182	1.26528	4150.79030	23.04625	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	378	S41_L.MP4	79342	S41_R.MP4	78389	830.91900	7	1.50200	829.13478	-608.12783	-2197.03290	2.11840	1.65385	5.43995	1.08219	2425.74473	25.27555	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S41	379	S41_L.MP4	79491	S41_R.MP4	78538	830.96867	7	1.55167	-210.99920	-364.69767	-2370.80465	1.18141	1.48523	7.74676	0.99815	2407.95344	10.36253	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	380	S41_L.MP4	79565	S41_R.MP4	78612	830.99333	7	1.57633	911.44556	-854.04845	-4734.02109	5.73900	5.38936	29.28489	2.49081	4896.02772	15.00656	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	381	S41_L.MP4	79565	S41_R.MP4	78612	830.99333	7	1.57633	883.00264	-546.41066	-4625.24663	5.50392	3.64129	28.21171	0.31857	4740.37601	12.82898	Labridae	Coris	auricularis	37384088	3	AD	Passing			
JMP-S41	383	S41_L.MP4	81207	S41_R.MP4	80254	831.54067	8	0.01533	-333.86016	-341.28649	-4164.76676	2.52124	2.47993	23.90087	2.40809	4192.04261	6.77791	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	388	S41_L.MP4	82584	S41_R.MP4	81631	831.99967	8	0.47433	-1975.48542	513.48493	-5112.49339	11.38857	3.71865	30.11990	2.12164	5504.88856	21.68373	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	394	S41_L.MP4	83294	S41_R.MP4	82341	832.23633	8	0.71100	1224.17052	265.82141	-2921.78583	3.93985	1.43121	9.48896	0.74369	3179.00723	23.13945	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	395	S41_L.MP4	83337	S41_R.MP4	82384	832.25067	8	0.72533	-647.92755	-242.26816	-3732.59112	3.47664	1.87053	18.71527	0.85861	3796.14810	10.61845	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	397	S41_L.MP4	83385	S41_R.MP4	82432	832.26667	8	0.74133	-1313.29813	196.15230	-3608.70909	5.55723	1.67367	15.43168	3.21859	3845.25799	20.15572	Labridae	Coris	auricularis	37384088	3	AD	Passing			
JMP-S41	407	S41_L.MP4	86391	S41_R.MP4	85438	833.26867	9	0.36867	-1754.95045	427.61869	-4265.21710	8.24686	2.68520	20.48119	0.96348	4631.93110	22.87685	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	411	S41_L.MP4	86940	S41_R.MP4	85987	833.45167	9	0.55167	-774.82058	207.41433	-2588.35035	2.61847	1.24731	8.38870	0.33794	2709.78324	17.13567	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	414	S41_L.MP4	91709	S41_R.MP4	90756	835.04133	10	0.03333	1043.20641	193.09047	-2557.22275	3.02782	1.14263	7.37910	3.70569	2768.56493	22.47480	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	417	S41_L.MP4	91835	S41_R.MP4	90882	835.08333	10	0.07533	741.60991	-641.60773	-2318.95420	2.13757	1.90641	6.38512	0.11884	2517.77567	23.13830	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	418	S41_L.MP4	91952	S41_R.MP4	90999	835.12233	10	0.11433	383.52486	143.09046	-3119.82918	2.02622	1.44823	13.31577	2.02554	3146.56961	7.36672	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	422	S41_L.MP4	92154	S41_R.MP4	91201	835.18967	10	0.18167	619.24028	-465.09058	-3528.66924	3.12973	2.50205	16.57972	0.93056	3612.65475	12.57827	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	424	S41_L.MP4	92285	S41_R.MP4	91332	835.23333	10	0.22533	-762.06303	-128.62409	-2959.36782	3.03546	1.26075	11.30692	0.43993	3058.61768	14.69404	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	426	S41_L.MP4	92341	S41_R.MP4	91388	835.25200	10	0.24400	-1480.72421	291.86046	-3113.72436	4.76050	1.52521	10.19368	1.10713	3460.20319	25.79778	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	431	S41_L.MP4	92659	S41_R.MP4	91706	835.35800	10	0.35000	-1204.52182	-123.70429	-3570.95421	5.19851	1.47098	15.49336	2.28425	3770.66168	18.76728	Labridae	Coris	auricularis	37384088	2	AD	Passing			
